Title,Company,Location,Salary,Days,Summary
Senior Director Platforms Data Science (AI &ML),[24]7.ai,"Bengaluru, Karnataka",None,4 days ago,"Strong knowledge in AI real-time data prediction.
Responsible for mentoring and managing a small group of data scientists who will support the platform."
Data Engineer,IBM,"Bengaluru, Karnataka",None,4 days ago,"Minimum 5+ years of experience using and developing data architectures with structured an unstructured data.
Ability to use data visualization tools to showcase…"
Clinical Data Reviewer,Bayer,"Hyderabad, Telangana",None,3 days ago,"Bachelor in natural sciences, medical documentation, data science, statistics or related life science field.
Contribute to process improvements and development…"
Data Scientist 1,PayPal,"Bengaluru, Karnataka",None,10 days ago,"LeveragingÃ‚data analysisÃ‚tools and technologies.
And you will do it all by collaborating with a global team of colleagues across sales, operations, product,…"
Junior Data Scientist/ta,WSD Consultant,India,"₹7,00,000 - ₹15,00,000 a year",30+ days ago,These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future.
Data Analyst,GroundTruth,"Gurgaon, Haryana",None,18 days ago,"Present the analysis in crisp and clear manner for solving location data anomalies/issues.
This will be an exciting and challenging role that will enable you to…"
Data Scientist,ATSPL - Andhra Pradesh,"Hyderabad, Telangana",None,4 days ago,"We are looking for data scientists to be based in Hyderabad/Bangalore, India with 5+ years of experience in problem-solving using statistical modelling and data…"
Data Engineer: Business Intelligence,IBM,"Mumbai, Maharashtra",None,4 days ago,"Performing and documenting data analysis, data validation, and data mapping/design.
Creating tools to store data within the organization."
Associate Partner – CPT Data Supply Chain LT00,IBM,India,None,3 days ago,"Own the offerings and assets on key components of data supply chain, data governance & curation, data quality and master data management, data integration, data…"
Data Scientist,Tookitaki,India,None,30+ days ago,"The data science team is responsible for solving business problems with complex data.
Big data experience, e.g. familiarity with Spark, Hadoop, is highly…"
"Director, Data Science (DDS)",iSOCRATES,"Mysore, Karnataka",None,30+ days ago,"Manages and architects a variety of data and analytic platforms & develops proprietary data and technology.
Strong analytical, data modeling, audience and price…"
Data Scientist - Advanced Analytics,IBM,Bihar,None,3 days ago,"Combines deep data and analytics skills with strong business acumen to solve business problems by understanding, preparing, and analyzing data to predict…"
Data Scientist,Alphonso,"Bengaluru, Karnataka",None,30+ days ago,"With the industry’s largest TV data footprint, we map ad exposure data from tens of millions of households to a broad range of third-party data sets such as…"
